河北	6所	河北大学	河北师范大学	燕山大学	河北农业大学		河北医科大学	河北工业大学
山西	4所	山西大学	中北大学	山西师范大学	山西财经大学
内蒙古	3所	内蒙古农业大学	内蒙古医科大学	内蒙古师范大学
黑龙江	5所	哈尔滨商业大学	黑龙江大学	哈尔滨医科大学	东北农业大学		哈尔滨理工大学
吉林	5所	延边大学	吉林农业大学	长春中医药大学	长春理工大学		东北电力大学
辽宁	5所	大连医科大学	辽宁工程技术大学	辽宁工业大学	沈阳农业大学		沈阳建筑大学
安徽	6所	安徽农业大学	安徽理工大学	安徽工业大学	安徽医科大学		安徽财经大学	安徽师范大学
江西	4所	南昌大学	江西农业大学	江西财经大学	江西师范大学
河南	7所	河南大学	华北水利水电大学	河南农业大学	河南理工大学		河南师范大学	河南工业大学	河南中医药大学
湖北	6所	湖北大学	湖北工业大学	武汉科技大学	武汉工程大学		武汉纺织大学	长江大学
湖南	6所	中南林业科技大学	湖南师范大学	湖南农业大学	长沙理工大学		湘潭大学	吉首大学
广西	4所	广西民族大学	广西师范大学	广西医科大学	广西中医药大学
海南	1所	海南大学
四川	6所	四川师范大学	成都理工大学	成都信息工程大学	西南石油大学		西华大学	四川理工学院
贵州	4所	贵州师范大学	贵州医科大学	贵州师范学院	贵州理工学院
云南	4所	昆明理工大学	云南师范大学	昆明医科大学	云南大学
重庆	3所	重庆邮电大学	重庆工商大学	重庆医科大学	
西藏	2所	西藏大学	西藏民族大学		
陕西	5所	西北大学	陕西科技大学	西安科技大学	西安理工大学		西安建筑科技大学
甘肃	4所	西北师范大学	甘肃农业大学	兰州理工大学	兰州交通大学
宁夏	1所	宁夏大学			
青海	2所	青海大学	青海民族大学		
新疆	5所	新疆大学	新疆农业大学	新疆师范大学	新疆艺术学院		喀什大学
生产建设兵团	2所	石河子大学	塔里木大学		
河南	3所	河南科技大学	新乡医学院	郑州航空工业管理学院	-
山西	1所	太原科技大学	-	-	-
河北	7所	河北大学	河北师范大学	河北农业大学	河北工业大学		河北工程大学	燕山大学	石家庄铁道大学	-
江西	2所	华东交通大学	　东华理工大学	-	-
广西	3所	广西师范学院	桂林电子科技大学	桂林理工大学	-
湖南	6所	湖南师范大学	湘潭大学	吉首大学	南华大学		湖南科技大学	长沙理工大学	-	-
内蒙古	1所	内蒙古科技大学	内蒙古工业大学		-
宁夏	1所	宁夏医科大学	-	-	-
海南	1所	海南师范大学	-	-	-
四川	2所	成都理工大学	四川理工学院	-	-
湖北	4所	武汉科技大学	湖北工业大学	三峡大学	湖北经济学院
重庆	1所	重庆交通大学	-	-	-
贵州	1所	遵义医学院	-	-	-
安徽	1所	安庆师范大学	-	-	-
云南	1所	西南林业大学			
